"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'FOB (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'FOB (Baht)')"
DZ,ALGERIA,0,0,14200,717990
AO,ANGOLA,275900,13375776,275900,13375776
AU,AUSTRALIA,72000,4008630,114025,6405322
BD,BANGLADESH,575600,22643359,786700,31031363
BE,BELGIUM,149000,6915929,193000,8932021
BR,BRAZIL,123000,4892468,231000,9101716
KH,CAMBODIA,105000,4640390,195000,8618584
CL,CHILE,0,0,66000,3025534
CN,CHINA,22397500,896678102,42013650,1636649390
CG,CONGO,17000,751809,17000,751809
CI,COTE D IVOIRE,270000,10060508,270000,10060508
CY,CYPRUS,0,0,20000,890805
DK,DENMARK,26000,1054132,26000,1054132
DJ,DJIBOUTI,36000,1479154,50200,2174826
FJ,FIJI,5000,213592,5000,213592
FI,FINLAND,0,0,20000,853556
FR,FRANCE,116000,5743266,136000,6803029
PF,FRENCH POLYNESIA,32200,1395156,32200,1395156
GA,GABON,35600,1470748,35600,1470748
GM,GAMBIA,18000,648118,18000,648118
GH,GHANA,197500,7441250,575500,20769977
GR,GREECE,0,0,40000,1743572
HK,HONG KONG,49500,2137700,49500,2137700
IN,INDIA,2734900,104411753,4575900,171852947
ID,INDONESIA,2995590,118197109,3988630,159488807
IR,IRAN (ISLAMIC REPUBLIC OF),158400,6714908,158400,6714908
IE,IRELAND,48000,2159798,119400,5327190
IL,ISRAEL,598300,26303626,1031300,43876022
JP,JAPAN,611000,26988513,732625,32241208
KE,KENYA,17600,836932,17600,836932
LA,LAO PDR,143525,7065834,219575,11171839
LV,LATVIA,0,0,56800,2857593
LB,LEBANON,96000,4202856,192000,8304653
LY,LIBYAN ARAB JAMAHIRIYA,28400,1441894,28400,1441894
MG,MADAGASCAR,27000,1393842,40500,2109047
MY,MALAYSIA,1103480,46740452,2214655,92700727
MU,MAURITIUS,130500,6472207,200500,10146363
YT,MAYOTTE,13500,692942,13500,692942
MZ,MOZAMBIQUE,179700,8389777,237800,11005355
MM,MYANMAR,15000,940938,15000,940938
nan,NAMIBIA,35200,1633970,35200,1633970
NL,NETHERLANDS,60000,2807176,80000,3744078
NC,NEW CALEDONIA,31500,1494240,45700,2131307
NZ,NEW ZEALAND,51000,2098511,51000,2098511
NG,NIGERIA,87500,4069556,87500,4069556
OM,OMAN,211200,8926042,211200,8926042
PK,PAKISTAN,284625,11191558,309375,12168793
PE,PERU,710000,28870577,710000,28870577
PH,PHILIPPINES,505500,19892190,788900,30834189
PT,PORTUGAL,254000,10585673,254000,10585673
RE,REUNION,40500,2187621,67500,3637408
RO,ROMANIA,42000,1975456,42000,1975456
RU,RUSSIAN FEDERATION,44000,2100996,101200,4657684
SG,SINGAPORE,24750,1168017,24750,1168017
ZA,SOUTH AFRICA,622500,26451688,703500,29743311
LK,SRI LANKA,168950,6869133,334900,13954224
SD,SUDAN,35200,1677002,35200,1677002
SE,SWEDEN,60000,3006483,60000,3006483
TW,"TAIWAN, PROVINCE OF CHINA",0,0,110600,4174341
TZ,TANZANIA UNITED REPUBLIC OF,62200,2941748,62200,2941748
TG,TOGO,288000,10642006,288000,10642006
TR,TÜRKIYE,699400,30352972,1467000,63732479
UA,UKRAINE,229500,10077845,229500,10077845
AE,UNITED ARAB EMIRATES,163200,7385916,640600,26885434
VN,VIETNAM,714750,30649331,1196650,50027936
SUM,SUM,38827170,1577559175,66963535,2663898659
