"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'FOB (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'FOB (Baht)')"
BE,BELGIUM,0,0,24375,1043220
KH,CAMBODIA,0,0,316825,17334391
CN,CHINA,0,0,140000,8176941
DE,GERMANY,0,0,200,11029
IN,INDIA,494,349482,101852,3900819
ID,INDONESIA,0,0,900,145493
IT,ITALY,0,0,24375,1066761
LA,LAO PDR,0,0,20500,250700
MY,MALAYSIA,44234,2348716,303310,17779704
PH,PHILIPPINES,0,0,15617,912869
SG,SINGAPORE,0,0,22098,1311619
SK,SLOVAKIA,0,0,97500,4160784
SE,SWEDEN,0,0,26000,1111010
VN,VIETNAM,0,0,44989,1574861
SUM,SUM,44728,2698198,1138541,58780201
