"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'FOB (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,16000,441670
AR,ARGENTINA,0,0,2100,168768
AU,AUSTRALIA,50000,1177903,525500,17885902
BR,BRAZIL,0,0,287400,22897236
KH,CAMBODIA,60,19904,170,56532
CN,CHINA,239975,11394209,1474719,109330007
EG,EGYPT,48000,2991617,101350,6316722
DE,GERMANY,0,0,0,196
GH,GHANA,64750,1511846,324450,7650983
HT,HAITI,0,0,54000,1817813
HK,HONG KONG,0,0,16750,1579269
IN,INDIA,503650,39484409,6270178,508389938
ID,INDONESIA,328375,24418740,2942832,231681137
JP,JAPAN,5774,569257,18809,1856708
KR,"KOREA,REPUBLIC OF",2740,265816,47225,4753240
LA,LAO PDR,10,2500,366,134440
MG,MADAGASCAR,32000,1010254,96575,2770415
MY,MALAYSIA,52400,4635651,487945,47842313
ML,MALI,0,0,99000,3645227
MU,MAURITIUS,16250,496988,16250,496988
MZ,MOZAMBIQUE,0,0,32500,768898
MM,MYANMAR,0,0,5594,678011
NZ,NEW ZEALAND,0,0,250,44152
NG,NIGERIA,0,0,12000,917551
PK,PAKISTAN,0,0,10000,789634
PH,PHILIPPINES,5266,1340390,177924,18208469
RU,RUSSIAN FEDERATION,0,0,1984,413325
SA,SAUDI ARABIA,24000,1804725,72000,5417168
SG,SINGAPORE,0,0,57875,3704031
ZA,SOUTH AFRICA,18550,760732,186525,10036265
LK,SRI LANKA,16088,393136,16088,393136
CH,SWITZERLAND,0,0,96,849
TW,"TAIWAN, PROVINCE OF CHINA",5500,423124,289773,26948599
AE,UNITED ARAB EMIRATES,30000,691919,294000,8905963
US,UNITED STATES,0,0,136300,8104811
VN,VIETNAM,185225,9520648,1163622,71038602
SUM,SUM,1628613,102913768,15238150,1126084968
