"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
AO,ANGOLA,0,0,561000,24282607
AR,ARGENTINA,0,0,1450,121056
AU,AUSTRALIA,7000,291990,7000,291990
AT,AUSTRIA,0,0,4948,474030
BH,BAHRAIN,0,0,823,346163
BD,BANGLADESH,1845500,78756544,3485500,146712765
BE,BELGIUM,0,0,208000,19196421
BR,BRAZIL,36000,2193822,102000,5213761
KH,CAMBODIA,585950,24287285,1157100,46858503
CA,CANADA,0,0,300,12660
CN,CHINA,6779010,176476031,22305334,670977398
CO,COLOMBIA,0,0,26000,1105019
FJ,FIJI,17000,710078,49500,1833458
PF,FRENCH POLYNESIA,30000,1271781,30000,1271781
GA,GABON,0,0,48600,1198200
DE,GERMANY,425,23974,725,36458
GH,GHANA,48750,1415752,48750,1415752
HT,HAITI,0,0,16500,665451
HK,HONG KONG,1986875,81192563,4842724,197819123
IN,INDIA,743525,22844995,2198775,72502143
ID,INDONESIA,8648425,355087678,28235300,1145081116
JP,JAPAN,832491,36632384,4326971,181589111
KE,KENYA,206000,8717622,257000,10912805
KR,"KOREA,REPUBLIC OF",1425,19243,153200,3516653
LA,LAO PDR,19000,828544,209100,7971679
MY,MALAYSIA,919505,38586456,3317655,133955213
MU,MAURITIUS,50500,2232563,143000,6175329
MX,MEXICO,208000,8518438,280000,11145938
MZ,MOZAMBIQUE,101000,2850098,1107500,41461827
MM,MYANMAR,916250,37023332,2887750,114373551
NL,NETHERLANDS,7724,237760,7724,237760
NZ,NEW ZEALAND,43000,1350922,82000,2957814
PK,PAKISTAN,56800,3862016,174100,9427384
PE,PERU,156000,6392569,312000,12874758
PH,PHILIPPINES,551025,22064902,3095025,122099373
PT,PORTUGAL,0,0,50,2224
RU,RUSSIAN FEDERATION,0,0,125,5314
SG,SINGAPORE,83500,3577768,178575,7475166
ZA,SOUTH AFRICA,32250,1755416,132050,11901407
LK,SRI LANKA,12075,1099342,106040,7331338
CH,SWITZERLAND,4500,187889,7795,276053
SY,SYRIAN ARAB REPUBLIC,34000,1468595,85000,3530875
TW,"TAIWAN, PROVINCE OF CHINA",12750,560722,38338,1592159
AE,UNITED ARAB EMIRATES,66000,2859637,66000,2859637
GB,UNITED KINGDOM,2,26386,2,26386
US,UNITED STATES,67500,6910165,158064,13963892
VN,VIETNAM,4045850,157322157,22830695,889208340
SUM,SUM,29155607,1089637419,103286088,3934287841
