"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'FOB (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'FOB (Baht)')"
AU,AUSTRALIA,615400,20586923,7250400,262049930
BH,BAHRAIN,0,0,147000,5502490
BD,BANGLADESH,79000,2452078,3582625,121818087
BN,BRUNEI DARUSSALAM,0,0,2000,62891
KH,CAMBODIA,838225,28386307,7154525,278889575
CA,CANADA,48000,1716530,1039575,42713403
CN,CHINA,31566935,893813067,344864450,11448431249
CI,COTE D IVOIRE,56000,1823600,224000,8239057
DJ,DJIBOUTI,409925,11877024,3467600,114850833
FJ,FIJI,20500,609084,178400,6154084
FR,FRANCE,110000,4049364,292125,11971600
PF,FRENCH POLYNESIA,27000,990306,310000,12354937
GA,GABON,0,0,27000,1131940
DE,GERMANY,227825,9285372,2166100,93429232
GH,GHANA,0,0,1382500,41714548
GT,GUATEMALA,0,0,175500,6874959
GN,GUINEA,0,0,70000,2010679
IN,INDIA,183000,7798984,2107200,92044229
ID,INDONESIA,5978925,165925984,45615925,1464873916
IE,IRELAND,0,0,140000,5181828
IL,ISRAEL,753625,27910033,7903325,302366211
IT,ITALY,0,0,24750,832162
JP,JAPAN,1805750,55016778,17646980,596726403
KZ,KAZAKHSTAN,51000,1543227,528000,17742052
KE,KENYA,81550,3095363,760450,33290253
KR,"KOREA,REPUBLIC OF",10000,1041991,157550,16866547
LA,LAO PDR,166750,4939873,1253440,40178238
LY,LIBYAN ARAB JAMAHIRIYA,0,0,14200,712298
LT,LITHUANIA,0,0,25500,1407017
MG,MADAGASCAR,67500,2450996,241400,9843566
MY,MALAYSIA,2326250,70890722,20119925,686616075
MV,MALDIVES,0,0,9829,388071
ML,MALI,0,0,54000,2255067
MU,MAURITIUS,121500,4873591,1120325,48623016
MX,MEXICO,2000,254729,9000,1131292
MZ,MOZAMBIQUE,0,0,153950,5219654
MM,MYANMAR,307200,9522218,3666350,127813881
NL,NETHERLANDS,44000,1824632,426000,19325169
NC,NEW CALEDONIA,17000,509213,104000,3590118
NZ,NEW ZEALAND,615500,22252295,5802700,221569103
NG,NIGERIA,663000,14083893,5612000,122951745
OM,OMAN,17500,556298,52500,1769609
PK,PAKISTAN,5000,447290,87900,4727641
PG,PAPUA NEW GUINEA,25500,818379,229350,9338950
PH,PHILIPPINES,1058000,31645033,4214225,138269680
PL,POLAND,29500,940407,644500,23977838
RE,REUNION,13500,521243,263200,11303572
RO,ROMANIA,0,0,24000,972816
RU,RUSSIAN FEDERATION,110050,3914765,636150,23353953
SA,SAUDI ARABIA,17500,583027,17500,583027
SN,SENEGAL,83775,3530081,343500,14515807
SC,SEYCHELLES,0,0,14075,945649
SL,SIERRA LEONE,0,0,24000,905670
SG,SINGAPORE,12000,1055746,217500,9360959
SO,SOMALIA,14200,611535,116400,4284118
ZA,SOUTH AFRICA,220000,6315951,1837500,58555492
LK,SRI LANKA,11000,348230,298700,10723030
SE,SWEDEN,0,0,165925,7978394
TW,"TAIWAN, PROVINCE OF CHINA",53000,3064724,478775,22550344
TZ,TANZANIA UNITED REPUBLIC OF,0,0,17500,562399
TR,TÜRKIYE,14200,649526,186350,8768972
UA,UKRAINE,167500,5799625,1410750,54255188
AE,UNITED ARAB EMIRATES,200850,6971611,2155350,79418915
GB,UNITED KINGDOM,17500,546288,156500,5437923
VN,VIETNAM,5050300,150014646,48565150,1584126406
YE,YEMEN,0,0,127050,4315206
SUM,SUM,54314235,1587858582,548114949,18360748963
