"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'FOB (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'FOB (Baht)')"
AU,AUSTRALIA,483440,14031893,483440,14031893
BD,BANGLADESH,176250,5257145,176250,5257145
KH,CAMBODIA,135500,3903900,135500,3903900
CA,CANADA,49500,1434431,49500,1434431
CN,CHINA,3994930,113117685,3994930,113117685
DJ,DJIBOUTI,261700,7467406,261700,7467406
PF,FRENCH POLYNESIA,9000,264026,9000,264026
DE,GERMANY,20200,1477462,20200,1477462
IN,INDIA,2158757,59897745,2158757,59897745
ID,INDONESIA,3505100,106117199,3505100,106117199
JP,JAPAN,1414800,43207585,1414800,43207585
KE,KENYA,34500,1036046,34500,1036046
KR,"KOREA,REPUBLIC OF",334250,10339425,334250,10339425
LA,LAO PDR,422278,13516137,422278,13516137
MY,MALAYSIA,646947,21069619,646947,21069619
MU,MAURITIUS,4000,121681,4000,121681
MZ,MOZAMBIQUE,33000,948876,33000,948876
MM,MYANMAR,889720,25265556,889720,25265556
NL,NETHERLANDS,38400,1666775,38400,1666775
NC,NEW CALEDONIA,18000,528052,18000,528052
NZ,NEW ZEALAND,92250,2682586,92250,2682586
PH,PHILIPPINES,210500,6613307,210500,6613307
PT,PORTUGAL,200000,4969194,200000,4969194
RE,REUNION,51000,1572947,51000,1572947
RU,RUSSIAN FEDERATION,25500,740440,25500,740440
SB,SOLOMON ISLANDS,3000,90703,3000,90703
LK,SRI LANKA,51750,1578993,51750,1578993
TW,"TAIWAN, PROVINCE OF CHINA",1059000,30521522,1059000,30521522
VN,VIETNAM,2593032,73153525,2593032,73153525
SUM,SUM,18916304,552591861,18916304,552591861
