"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'FOB (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'FOB (Baht)')"
AU,AUSTRALIA,583070,27676877,2169510,93130787
BD,BANGLADESH,418500,19041031,1137750,51055516
BE,BELGIUM,0,0,30000,2647653
BN,BRUNEI DARUSSALAM,0,0,18000,814091
KH,CAMBODIA,142500,7121625,1129500,49948950
CA,CANADA,96000,4235673,394500,17083212
CL,CHILE,100000,4442800,400000,16905687
CN,CHINA,7187321,370677394,29680111,1324348074
CO,COLOMBIA,100000,4598206,150000,6742706
CZ,CZECH REPUBLIC,0,0,2000,85679
DJ,DJIBOUTI,18000,766613,1339500,50890492
FJ,FIJI,141000,6988678,352250,15871821
PF,FRENCH POLYNESIA,18000,965160,72000,3283531
DE,GERMANY,57600,3374789,67200,3731013
GH,GHANA,51750,3269732,51750,3269732
HK,HONG KONG,0,0,772000,31914216
IN,INDIA,1466000,73718783,8008937,353128090
ID,INDONESIA,4479550,238984104,17629850,826179448
IL,ISRAEL,0,0,2000,80150
JP,JAPAN,867500,38233557,3427933,143423461
KZ,KAZAKHSTAN,0,0,68000,3000813
KE,KENYA,34500,2010045,51750,2849345
KR,"KOREA,REPUBLIC OF",693200,35578783,3593771,160325223
LA,LAO PDR,390550,19399882,2548725,112186053
MY,MALAYSIA,597842,31715892,2151122,98702635
MU,MAURITIUS,0,0,28500,1266008
MX,MEXICO,80000,2682116,208000,6565580
MM,MYANMAR,146300,6838970,1289410,54853019
NP,NEPAL,0,0,97000,2019714
NL,NETHERLANDS,0,0,2000,90837
NC,NEW CALEDONIA,18000,882432,54000,2474752
NZ,NEW ZEALAND,101000,4675435,555250,24265857
NG,NIGERIA,69000,3833677,141000,6875276
PK,PAKISTAN,16500,736892,16500,736892
PG,PAPUA NEW GUINEA,36000,1643530,70000,3142606
PE,PERU,250000,11436809,750000,32148006
PH,PHILIPPINES,761500,35340195,1977250,88034266
PT,PORTUGAL,383000,17782843,663020,27564411
RE,REUNION,15000,830606,62000,2573246
RU,RUSSIAN FEDERATION,40,1814,80,3450
SG,SINGAPORE,55000,2970058,249660,11658788
LK,SRI LANKA,93750,5051063,229750,11259690
TW,"TAIWAN, PROVINCE OF CHINA",2235000,108943709,6417000,295066927
TZ,TANZANIA UNITED REPUBLIC OF,0,0,18000,761841
TR,TÜRKIYE,54000,2812752,170250,8834909
AE,UNITED ARAB EMIRATES,0,0,60012,1384130
US,UNITED STATES,49250,2429017,61250,2936911
VN,VIETNAM,2637307,133175799,16195662,722871277
SUM,SUM,24443530,1234867341,104563753,4678986771
