"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'FOB (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'FOB (Baht)')"
AR,ARGENTINA,48000,3404672,548150,38486260
AU,AUSTRALIA,39960,3220461,933210,51325608
BD,BANGLADESH,0,0,307600,11224833
BR,BRAZIL,0,0,2000,105216
BF,BURKINA FASO,0,0,4,469
KH,CAMBODIA,0,0,55500,2603631
CN,CHINA,4271695,62284646,65745936,1068188073
DK,DENMARK,0,0,24975,1361138
DJ,DJIBOUTI,0,0,136076,1063160
FJ,FIJI,50,8130,36800,1681900
DE,GERMANY,0,0,13000,46597
GH,GHANA,0,0,41400,427039
HK,HONG KONG,27500,214626,266731,2279274
IN,INDIA,179600,7495499,2525935,71910819
ID,INDONESIA,6200,523784,2374745,101560421
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,24750,1233370
IT,ITALY,0,0,15,7680
JP,JAPAN,1353,182127,646421,28053223
KE,KENYA,0,0,25000,194661
KR,"KOREA,REPUBLIC OF",159150,1039326,698209,6745171
LA,LAO PDR,6000,327000,81550,4998702
MG,MADAGASCAR,0,0,165000,5000390
MY,MALAYSIA,34718,3433571,577766,53844312
MU,MAURITIUS,1000,160524,2100,347541
MM,MYANMAR,0,0,52509,3190737
NP,NEPAL,9000,1084417,69100,7458564
NZ,NEW ZEALAND,0,0,70780,5606322
PK,PAKISTAN,500,73862,213825,14722416
PG,PAPUA NEW GUINEA,0,0,250,41270
PH,PHILIPPINES,9002,754976,224842,13276403
PL,POLAND,0,0,104,177877
SG,SINGAPORE,0,0,132972,15851983
SK,SLOVAKIA,0,0,281,291027
SI,SLOVENIA,115110,3601050,1381680,43331912
ZA,SOUTH AFRICA,0,0,51415,3792195
LK,SRI LANKA,3650,596725,106500,3505480
TW,"TAIWAN, PROVINCE OF CHINA",146500,7625489,1592675,67978061
TR,TÜRKIYE,0,0,61183,5980113
UA,UKRAINE,0,0,1000,164921
AE,UNITED ARAB EMIRATES,0,0,135425,8031452
GB,UNITED KINGDOM,0,0,3085,539895
US,UNITED STATES,55500,1380731,144803,5089564
UY,URUGUAY,0,0,600,98018
VN,VIETNAM,19700,1848878,653575,55908059
SUM,SUM,5134188,99260494,80129477,1707725757
