"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
AR,ARGENTINA,0,0,28500,1736001
AU,AUSTRALIA,0,0,126688,2934042
BD,BANGLADESH,0,0,232750,18265293
BE,BELGIUM,124800,12505477,1288600,125098704
KH,CAMBODIA,15080,2313264,233183,33267555
CN,CHINA,363718,33947483,1827034,153277423
CZ,CZECH REPUBLIC,0,0,492,34418
EG,EGYPT,0,0,120000,6752460
DE,GERMANY,106,3504,1706,75504
GN,GUINEA,0,0,54000,1170195
IN,INDIA,344281,27327834,3752791,264869339
ID,INDONESIA,188300,14905418,1241965,92865254
JP,JAPAN,44329,3301146,329769,25041943
KR,"KOREA,REPUBLIC OF",0,0,22975,2156068
LA,LAO PDR,33,6068,254,63457
MY,MALAYSIA,0,0,259673,25667036
MU,MAURITIUS,0,0,32400,783531
MX,MEXICO,0,0,16000,874149
MM,MYANMAR,120,41926,2471,294107
NL,NETHERLANDS,20,2000,20,2000
PK,PAKISTAN,48550,3823654,69175,5596884
PH,PHILIPPINES,22600,1896842,208270,15091375
SA,SAUDI ARABIA,121700,9213772,257250,18313552
SG,SINGAPORE,1000,211180,1020,213180
ZA,SOUTH AFRICA,2500,264222,25110,2239621
LK,SRI LANKA,0,0,16000,377485
TW,"TAIWAN, PROVINCE OF CHINA",35000,3711779,236900,22532258
AE,UNITED ARAB EMIRATES,0,0,253000,10420287
US,UNITED STATES,0,0,500,34724
VN,VIETNAM,33034,2956615,196079,14241311
SUM,SUM,1345171,116432184,10834575,844289156
