"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'FOB (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'FOB (Baht)')"
CN,CHINA,24000,3017642,262494,23773066
IN,INDIA,48000,8500706,735350,96699482
ID,INDONESIA,32000,1771222,396700,42025454
KR,"KOREA,REPUBLIC OF",0,0,9000,1129422
MY,MALAYSIA,0,0,100,23044
MX,MEXICO,24750,1291595,123750,6973365
NZ,NEW ZEALAND,0,0,24000,2785766
NG,NIGERIA,5000,913728,5000,913728
PK,PAKISTAN,0,0,2000,257998
PH,PHILIPPINES,0,0,22,7600
TW,"TAIWAN, PROVINCE OF CHINA",50,3446,50,3446
VN,VIETNAM,85500,3531496,173500,8737698
SUM,SUM,219300,19029835,1731966,183330069
