"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'CIF (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'CIF (Baht)')"
AU,AUSTRALIA,70000,3187675,70000,3187675
AT,AUSTRIA,0,0,12,104746
BE,BELGIUM,160625,11146926,333875,20180652
BR,BRAZIL,0,0,250,82801
CA,CANADA,96060,4000729,360860,14202492
CN,CHINA,557175,34474580,1834770,107934457
DK,DENMARK,422,472935,781,668285
FI,FINLAND,99000,5808281,371250,21928876
FR,FRANCE,3,10785,4,22405
DE,GERMANY,45620,4089417,156545,15204976
HK,HONG KONG,0,0,289000,28627150
ID,INDONESIA,2105,1107757,77102,5043672
JP,JAPAN,706976,49171675,2766431,203937871
KR,"KOREA,REPUBLIC OF",570500,31651100,1301361,71754964
KW,KUWAIT,420750,17149719,2029500,78063966
MY,MALAYSIA,4487566,209693950,13628481,629360920
NL,NETHERLANDS,4,2978,8254,710578
NO,NORWAY,0,0,49500,2800662
QA,QATAR,255000,11102434,637500,28096603
SA,SAUDI ARABIA,2281350,100696505,7425550,313844357
SG,SINGAPORE,1693475,82573146,7573590,356109529
ES,SPAIN,174000,17965894,214000,21366284
CH,SWITZERLAND,9220,1437175,14740,3173919
TW,"TAIWAN, PROVINCE OF CHINA",16325,2017182,47125,4445966
AE,UNITED ARAB EMIRATES,99000,4222104,445500,18686775
GB,UNITED KINGDOM,7714,123309,14234,802242
US,UNITED STATES,299550,16119385,1872989,95423377
VN,VIETNAM,500,63353,11500,713383
SUM,SUM,12052940,608288994,41534704,2046479583
