"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
CA,CANADA,24750,1142449,110000,5205493
CN,CHINA,0,0,59,17323
FI,FINLAND,0,0,1375,99858
DE,GERMANY,31,41562,237,90221
JP,JAPAN,5000,486866,5025,488375
MY,MALAYSIA,0,0,17,4042
SA,SAUDI ARABIA,0,0,123750,4994513
SG,SINGAPORE,0,0,63000,3666661
US,UNITED STATES,8000,891357,463900,22511683
SUM,SUM,37781,2562234,767363,37078169
