"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'CIF (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'CIF (Baht)')"
BR,BRAZIL,302,209698,1245,1051169
CN,CHINA,0,0,14250,1253302
FR,FRANCE,21201,1163444,220026,12010105
DE,GERMANY,2,1450,2630,415920
IN,INDIA,0,0,14400,750380
JP,JAPAN,54712,4226869,293173,21755703
KR,"KOREA,REPUBLIC OF",188220,11033156,1035580,62640776
MY,MALAYSIA,0,0,100,4327
RU,RUSSIAN FEDERATION,3375,760166,14625,3226165
SG,SINGAPORE,0,0,442,360127
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1025,103231
TH,THAILAND,0,0,4975,567198
US,UNITED STATES,0,0,3977,1036834
SUM,SUM,267812,17394783,1606448,105175237
