"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'CIF (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'CIF (Baht)')"
AU,AUSTRALIA,2035,281238,3938,524131
AT,AUSTRIA,108,185227,1732,2428347
BE,BELGIUM,80400,17162938,408494,76824014
CA,CANADA,0,0,28544,4989331
CN,CHINA,154995,8376385,1648894,93009496
CZ,CZECH REPUBLIC,0,0,4,3583
FR,FRANCE,21952,3612214,291112,26379407
DE,GERMANY,208,130226,45285,12006548
HK,HONG KONG,0,0,179,49094
IN,INDIA,25150,1752544,138491,6701765
ID,INDONESIA,0,0,65107,6574792
IE,IRELAND,0,0,100,35540
IL,ISRAEL,2400,381560,14400,2229320
IT,ITALY,5672,533051,35171,3911611
JP,JAPAN,136157,28596853,1682753,285661319
KR,"KOREA,REPUBLIC OF",212350,15112303,3124917,206681598
MY,MALAYSIA,124091,11779087,1609266,129635411
MX,MEXICO,20411,1254506,61916,3833861
MA,MOROCCO,0,0,207,110098
NL,NETHERLANDS,70000,6722892,1309616,121835644
PH,PHILIPPINES,0,0,50,8312
SA,SAUDI ARABIA,198000,7699048,2846250,122621812
SG,SINGAPORE,68028,6580838,767655,119930415
ES,SPAIN,0,0,221975,19490084
CH,SWITZERLAND,0,0,3000,2421398
TW,"TAIWAN, PROVINCE OF CHINA",28273,4095324,1197113,76647127
TH,THAILAND,0,0,3463,528739
TR,TÜRKIYE,0,0,250,92786
AE,UNITED ARAB EMIRATES,49500,1988342,371606,15430107
GB,UNITED KINGDOM,0,0,18819,3484976
US,UNITED STATES,68547,14092216,437246,70061245
VN,VIETNAM,0,0,98000,26265620
SUM,SUM,1268277,130336792,16435553,1440407531
