"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'CIF (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'CIF (Baht)')"
AU,AUSTRALIA,7,10214,7,10214
BE,BELGIUM,0,0,24000,2318904
CN,CHINA,16775,1118033,469647,28680128
FR,FRANCE,0,0,1100,175571
DE,GERMANY,0,0,12005,1237929
HK,HONG KONG,0,0,12768,622337
IT,ITALY,0,0,31625,6019508
JP,JAPAN,26,15404,376936,42555421
KR,"KOREA,REPUBLIC OF",24000,1740076,149200,9598381
SG,SINGAPORE,500,34603,85450,5800735
SE,SWEDEN,0,0,40600,4118292
AE,UNITED ARAB EMIRATES,13000,631031,78000,3718408
GB,UNITED KINGDOM,0,0,12,39104
US,UNITED STATES,26,18203,89175,5960105
VN,VIETNAM,0,0,11000,606859
SUM,SUM,54334,3567564,1381525,111461896
