"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
CN,CHINA,298200,15223784,298200,15223784
FI,FINLAND,46750,3023750,46750,3023750
DE,GERMANY,22510,420437,22510,420437
IN,INDIA,1000,110114,1000,110114
JP,JAPAN,340269,17303006,340269,17303006
KR,"KOREA,REPUBLIC OF",634075,28958983,634075,28958983
MY,MALAYSIA,65316,9026548,65316,9026548
SA,SAUDI ARABIA,496250,19303388,496250,19303388
SG,SINGAPORE,255010,12164621,255010,12164621
TW,"TAIWAN, PROVINCE OF CHINA",48200,2366290,48200,2366290
TH,THAILAND,50,8542,50,8542
US,UNITED STATES,17184,1676812,17184,1676812
SUM,SUM,2224814,109586275,2224814,109586275
