"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1000,193472
AT,AUSTRIA,0,0,90000,5216042
BE,BELGIUM,0,0,68775,5503097
CN,CHINA,26000,2662186,146256,14100447
FR,FRANCE,173400,9412419,480700,25835520
DE,GERMANY,58200,4481840,114226,8078324
IN,INDIA,36,4992,97,18974
ID,INDONESIA,104,39130,5112,554777
IT,ITALY,2750,195447,6875,615768
JP,JAPAN,666645,49631176,2221246,154748196
KR,"KOREA,REPUBLIC OF",629500,32982640,1449086,75037567
MY,MALAYSIA,200,45160,64812,2913812
NL,NETHERLANDS,111362,7468614,211362,14872777
SA,SAUDI ARABIA,371250,15989708,668250,28361210
SG,SINGAPORE,5081755,224050118,13236940,587843072
ES,SPAIN,0,0,3,1663
SE,SWEDEN,108,175410,108,175410
TW,"TAIWAN, PROVINCE OF CHINA",69000,3616878,680714,31165824
AE,UNITED ARAB EMIRATES,319000,13533992,888250,37219685
US,UNITED STATES,59313,5431419,146913,13925822
SUM,SUM,7568623,369721129,20480725,1006381459
