"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
CN,CHINA,0,0,44000,2944264
JP,JAPAN,11350,979636,72850,4742829
KR,"KOREA,REPUBLIC OF",50,7506,50,7506
NL,NETHERLANDS,20000,903000,262000,11659709
SA,SAUDI ARABIA,123750,4283035,495000,17941862
SG,SINGAPORE,1815100,79764560,8656110,397579394
ES,SPAIN,127600,7658649,242250,14604115
AE,UNITED ARAB EMIRATES,445450,16179545,1383650,50371491
US,UNITED STATES,88000,5371750,276800,18654452
SUM,SUM,2631300,115147681,11432710,518505622
