"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2626243
CN,CHINA,20750,1710921,198475,14727338
DE,GERMANY,0,0,100,53641
HK,HONG KONG,0,0,1180,154048
JP,JAPAN,202000,11953489,1299400,93343750
KR,"KOREA,REPUBLIC OF",286200,14632931,1439856,78939870
MY,MALAYSIA,0,0,100000,6361515
AE,UNITED ARAB EMIRATES,63000,2514853,2418750,103606975
GB,UNITED KINGDOM,0,0,25,16751
US,UNITED STATES,228018,11500772,2772201,159843571
VN,VIETNAM,17775,937722,149125,8050924
SUM,SUM,817743,43250688,8403112,467724626
