"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'CIF (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'CIF (Baht)')"
AU,AUSTRALIA,25,16801,25,16801
CN,CHINA,2,1983,25316,1350990
FR,FRANCE,2000,378540,7500,1407401
DE,GERMANY,25,4322,25,4322
HK,HONG KONG,0,0,44,8175
IN,INDIA,0,0,28,5780
IL,ISRAEL,0,0,24000,1546577
JP,JAPAN,59490,5813545,232911,28933142
KR,"KOREA,REPUBLIC OF",82500,5263472,262549,16484435
QA,QATAR,17000,455486,85000,2472166
GB,UNITED KINGDOM,200,52560,901,230560
US,UNITED STATES,0,0,686,49397
SUM,SUM,161242,11986709,638985,52509746
