"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'CIF (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'CIF (Baht)')"
AU,AUSTRALIA,2100,125144,2100,125144
BE,BELGIUM,0,0,99000,4160329
BR,BRAZIL,1375,635813,1375,635813
CA,CANADA,0,0,50000,1390695
CN,CHINA,2800,41160,83800,5189564
ID,INDONESIA,714000,23939989,1268750,39886483
JP,JAPAN,63200,9679143,94360,12657154
KR,"KOREA,REPUBLIC OF",42000,1491604,84000,3053415
KW,KUWAIT,99000,3137440,321750,9512567
MY,MALAYSIA,105005,3543741,210005,6985524
QA,QATAR,408000,13412660,433500,14283809
SA,SAUDI ARABIA,3714820,117000340,5782120,180317424
SG,SINGAPORE,509825,19482172,924775,34789742
TW,"TAIWAN, PROVINCE OF CHINA",500,999031,700,1404570
AE,UNITED ARAB EMIRATES,765875,25912098,1755875,57174167
US,UNITED STATES,914577,29253815,1092827,36409366
VN,VIETNAM,0,0,25,3739
SUM,SUM,7343077,248654150,12204962,407979505
