"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'CIF (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'CIF (Baht)')"
AU,AUSTRALIA,25,8770,134200,11470175
BE,BELGIUM,76750,4444448,930128,61563986
BR,BRAZIL,300,79308,11675,1354888
CA,CANADA,119050,4867948,2822550,137004170
CN,CHINA,0,0,184241,8830642
HK,HONG KONG,0,0,51000,2260666
IN,INDIA,0,0,3000,578063
ID,INDONESIA,11650,1144759,2351875,120308930
IL,ISRAEL,6000,759570,10823,1372790
JP,JAPAN,74253,7296662,955735,93593981
KR,"KOREA,REPUBLIC OF",29500,3173809,1598951,87834827
KW,KUWAIT,0,0,1113750,47371892
MY,MALAYSIA,1978800,76278675,4400145,177948643
NL,NETHERLANDS,120000,6175750,1268155,75539557
OM,OMAN,99000,3833592,1684900,72439262
PH,PHILIPPINES,0,0,5,706
QA,QATAR,408000,16285212,3417000,153425922
SA,SAUDI ARABIA,4347950,189334700,34993500,1617106000
SG,SINGAPORE,346850,16071325,4975435,250799190
SE,SWEDEN,0,0,175,38474
TW,"TAIWAN, PROVINCE OF CHINA",0,0,4388,3792275
TH,THAILAND,0,0,105000,4969644
AE,UNITED ARAB EMIRATES,445500,18619464,8093250,389531276
US,UNITED STATES,581381,29996758,4905125,280931014
VN,VIETNAM,0,0,3337,232823
SUM,SUM,8645009,378370750,74018343,3600299796
